Ti,Variable_tp,Variable_pet,Variable_t2mmin,Variable_t2mmax,Variable_t2m
1998-01-01T00:00:00.0,0.0027485904038826448,-0.1041175127029419,271.3204707629317,273.23577441534405,272.32465844089865
1998-01-02T00:00:00.0,0.0037252028483862887,-0.2502225637435913,272.56053787288954,273.40218342106743,273.01849599000246
1998-01-03T00:00:00.0,0.00787942103511341,-0.17296533286571503,272.22611977484934,273.89020983208314,272.9006229442818
1998-01-04T00:00:00.0,0.007076342884829501,-0.13653290271759033,271.1684625365497,273.4821877507421,272.7346139602067
1998-01-05T00:00:00.0,0.00021498970892253055,-0.027231870219111443,268.7107295289429,272.21651925528835,270.6872364935563
1998-01-06T00:00:00.0,0.0011732846445511314,-0.02692084014415741,261.44313622129295,270.46922469519285,267.95248849445085
1998-01-07T00:00:00.0,0.0001716061353818077,-0.02029518410563469,260.96151015665123,269.09315022478796,265.6274293335545
1998-01-08T00:00:00.0,0.0010151756209211271,-0.02172331139445305,269.1283521298448,270.6804361255341,269.73578500290006
1998-01-09T00:00:00.0,0.0034032003247261855,-0.07503438740968704,265.724967945483,270.2436124855102,268.2538381362256
1998-01-10T00:00:00.0,0.0011790691210080695,-0.11988624185323715,270.30601586265647,275.46629512667477,273.29644436534744
1998-01-11T00:00:00.0,0.0003499608266110954,-0.06368838995695114,271.9685058332968,274.4006374554077,273.35611426122983
1998-01-12T00:00:00.0,0.000160037182411088,-0.07329367101192474,269.8611917896651,274.4006374554077,272.75521507509796
1998-01-13T00:00:00.0,0.001675570018221606,-0.06775933504104614,270.5156272064042,274.63265001146436,272.8251521932887
1998-01-14T00:00:00.0,0.003227737871725367,-0.1061796247959137,273.8502076672458,274.63265001146436,274.2860979234235
1998-01-15T00:00:00.0,0.0088521771619412,-0.15752185881137848,273.62139528437615,276.1223306300073,274.9387332427449
1998-01-16T00:00:00.0,0.0012214886151582505,-0.12418466806411743,271.87410072428065,274.63585018465136,273.70799997124897
1998-01-17T00:00:00.0,0.0008252519767779631,-0.06295588612556458,269.45316970832414,271.87250063768715,270.97731885890187
1998-01-18T00:00:00.0,0.0003374277942498338,-0.05581146106123924,266.541012108165,269.4355687557957,268.25350478485194
1998-01-19T00:00:00.0,0.0034986441864930384,-0.8234601616859436,266.4674081248642,269.491571786568,268.0189587583556
1998-01-20T00:00:00.0,0.0,-0.565046489238739,262.1215729369344,269.06594875269855,266.1233228369883
1998-01-21T00:00:00.0,0.0,-0.05161888524889946,260.3214755192536,265.68816595383265,262.33358441057237
1998-01-22T00:00:00.0,0.0002005285177233418,-0.1784483641386032,261.54714184987006,272.40692955991415,268.0003577517063
1998-01-23T00:00:00.0,0.0012253449327772614,-0.27173730731010437,270.8660461703794,272.3861284341987,271.76076125724154
1998-01-24T00:00:00.0,0.0,-0.23768340051174164,265.77137045669434,271.1588620169888,269.27982699402895
1998-01-25T00:00:00.0,0.0,-0.0956522524356842,262.6912037642183,268.4915176656342,265.52515713212046
1998-01-26T00:00:00.0,0.0,-0.07922066748142242,262.3983879176089,268.0434934194559,265.3131456584825
1998-01-27T00:00:00.0,3.856317647432661e-5,-0.2346622496843338,266.51061046288856,273.99421546066026,270.3969541173867
1998-01-28T00:00:00.0,0.0,-0.13243632018566132,264.74251477707764,270.62603318135524,268.0057580439592
1998-01-29T00:00:00.0,0.0,-0.18910706043243408,264.0592778016557,268.37791151749616,266.16999202929856
1998-01-30T00:00:00.0,0.00015618086473523363,-0.37462902069091797,259.68304096844946,268.24190415704913,265.4795546642059
1998-01-31T00:00:00.0,0.0,-0.11970081925392151,258.23656268793087,264.37609494716753,260.73556459559495
1998-02-01T00:00:00.0,0.0008474258032151738,-0.17355406284332275,262.0399685206662,270.4324227035425,267.1865137080904
1998-02-02T00:00:00.0,0.0025374570126359686,-0.22975383698940277,265.1585372913861,268.6579266713576,267.32658795529585
1998-02-03T00:00:00.0,0.0005475971060491247,-0.19291335344314575,260.03666010561165,268.4979180120082,264.4792338621732
1998-02-04T00:00:00.0,0.003051311339277163,-0.0915224552154541,259.7550448651567,262.7104048033402,261.4930722570648
1998-02-05T00:00:00.0,0.0005659146149241678,-0.13206596672534943,258.466975157394,268.79553411839805,264.4698333534364
1998-02-06T00:00:00.0,0.00027379855305298406,-0.15020063519477844,267.2594509886438,274.9526673301632,269.8333902851031
1998-02-07T00:00:00.0,0.0009274443944491395,-0.13577835261821747,271.8036969141669,276.99277773686805,275.56716725233963
1998-02-08T00:00:00.0,0.0004974649766609218,-0.19368675351142883,269.55717533690125,275.84391556273937,273.01396241132096
1998-02-09T00:00:00.0,0.00020149259711388368,-0.18268989026546478,275.1158761626996,279.8601329124094,276.95504236137157
1998-02-10T00:00:00.0,3.952725592171191e-5,-0.456419974565506,273.89020983208314,279.6201199233853,277.2145897408912
1998-02-11T00:00:00.0,0.00037599097072416043,-0.15548203885555267,273.6325958905306,277.00557842961604,275.21888173715575
1998-02-12T00:00:00.0,1.4461191199188761e-5,-0.12593156099319458,272.2501210737517,275.79751305152803,273.73160124850295
1998-02-13T00:00:00.0,2.6994223560450337e-5,-0.356456458568573,271.0500561286312,274.79905901718774,273.2461749782018
1998-02-14T00:00:00.0,0.0011405059445337429,-0.15986716747283936,272.3589269621093,277.83762345823294,274.3625687285376
1998-02-15T00:00:00.0,5.688068529252632e-5,-0.13604313135147095,270.6436341338837,276.4103462168362,273.4849212320061
1998-02-16T00:00:00.0,0.008229381861724505,-0.16424277424812317,270.62603318135524,275.17827953984585,273.71373361487565
