Ti,Variable_tp,Variable_pet,Variable_t2mmin,Variable_t2mmax,Variable_t2m
1998-01-01T00:00:00.0,3.8563176758543705e-6,-0.38440290093421936,275.677506557016,284.46678221507875,278.9028811078516
1998-01-02T00:00:00.0,0.004212062951467033,-0.15779626369476318,275.90471885329214,280.3177576781487,278.727671625864
1998-01-03T00:00:00.0,0.0019908239859773857,-0.2285287231206894,277.7144167905339,282.2986648808943,280.3168909645772
1998-01-04T00:00:00.0,0.003140006645196536,-0.22637486457824707,277.7928210336151,282.69548635608083,280.47383279128917
1998-01-05T00:00:00.0,0.0010199960179875234,-0.3219057023525238,279.01048693126404,283.91155216713634,281.27060924457436
1998-01-06T00:00:00.0,0.00391705465136738,-0.2271106243133545,279.1032919536867,282.252262369683,280.6154404548134
1998-01-07T00:00:00.0,0.00032296660305064506,-0.27403438091278076,277.3063947091929,282.0314504197808,279.9901399481308
1998-01-08T00:00:00.0,5.784476456938137e-6,-0.27491942048072815,277.0615814603883,281.5658252210741,278.69833670498326
1998-01-09T00:00:00.0,9.93001794427073e-5,-0.2698868215084076,275.2886855147969,280.4841666838721,277.45353600551965
1998-01-10T00:00:00.0,6.555740003477695e-5,-0.3011474013328552,276.0423263003326,280.8441861674082,278.2563794538053
1998-01-11T00:00:00.0,5.784476456938137e-6,-0.31622347235679626,272.1589161379226,278.3416507351836,275.17514603693365
1998-01-12T00:00:00.0,4.820397066396254e-6,-0.3357809782028198,274.06141909758696,279.0568894424754,276.1475319938549
1998-01-13T00:00:00.0,0.0005398844707542594,-0.3431049585342407,276.75436483443747,280.36416018936,278.84414459581535
1998-01-14T00:00:00.0,0.014888278361070206,-0.20514121651649475,278.4200549782648,280.6553759493759,279.57838433140495
1998-01-15T00:00:00.0,0.00011761768826090702,-0.395851731300354,275.1318770286345,282.73388843432474,279.7247922547097
1998-01-16T00:00:00.0,0.0037743708983839497,-0.20465832948684692,273.42298454678286,278.77047394223996,276.6577596063553
1998-01-17T00:00:00.0,0.0027919739774233676,-0.24613259732723236,276.7159627561936,280.104946161214,278.1341061699524
1998-01-18T00:00:00.0,0.0,-0.46387338638305664,273.4933883568966,281.59462677975694,276.62949140987024
1998-01-19T00:00:00.0,0.008187926446964866,-0.33909693360328674,274.33823407826145,281.9546462632931,278.7981421062525
1998-01-20T00:00:00.0,0.0006488254443297592,-0.42057353258132935,273.1045673146775,280.9961943937902,276.27367215364194
1998-01-21T00:00:00.0,8.676714685407205e-6,-0.9892184138298035,271.60208600338666,279.6201199233853,276.15053215621765
1998-01-22T00:00:00.0,1.6389349980272527e-5,-1.1558518409729004,275.6455048251461,279.0616897022559,277.2783265235321
1998-01-23T00:00:00.0,7.230595588225697e-5,-0.5919227600097656,275.81991426383695,278.1640411233057,276.8621706686741
1998-01-24T00:00:00.0,0.0,-0.485034316778183,271.93810418802036,280.43296391288027,275.6035692223416
1998-01-25T00:00:00.0,0.00010508465589964544,-0.4020499289035797,271.8901015902156,278.55446225211824,275.44216048722285
1998-01-26T00:00:00.0,9.640793905418832e-7,-0.5040096640586853,271.4372770842567,276.27433885638925,274.08342028824757
1998-01-27T00:00:00.0,0.0,-0.432020902633667,268.4723166265123,275.3254875064473,271.7914295836168
1998-01-28T00:00:00.0,0.0,-0.4734899699687958,266.52181106904305,278.05043497516766,271.2092647446838
1998-01-29T00:00:00.0,0.0,-0.4842545688152313,266.78102509718906,278.8184765400448,271.2828687279845
1998-01-30T00:00:00.0,0.0002892238236427147,-0.4722180962562561,267.91548649197637,278.3400506485901,272.39212875892434
1998-01-31T00:00:00.0,0.002358138242016139,-0.32442888617515564,274.3254333855135,279.15449472467856,276.19446786726405
1998-02-01T00:00:00.0,0.0009766124444468005,-0.5093238949775696,273.1141678342385,277.3383964410628,276.1157302728091
1998-02-02T00:00:00.0,0.00013882743536441922,-0.5666741132736206,271.03245517610276,279.9097355968077,275.682173476247
1998-02-03T00:00:00.0,0.004726881357555612,-0.26480233669281006,276.2167357390235,279.839331786694,277.97423085115247
1998-02-04T00:00:00.0,0.004542742189812543,-0.6559637188911438,276.341542493316,279.01848736423153,277.3929327257911
1998-02-05T00:00:00.0,0.0,-0.7179834842681885,272.6117406438814,279.58011775854794,276.28007250001593
1998-02-06T00:00:00.0,0.0,-0.7237236499786377,272.11411371330473,283.0507055798365,276.2124021711661
1998-02-07T00:00:00.0,0.0,-0.736390233039856,272.6069403841009,284.63639139398913,277.4993384842584
1998-02-08T00:00:00.0,0.0,-0.6521464586257935,273.49818861667706,282.4890751855201,277.3268624835347
1998-02-09T00:00:00.0,0.0,-0.7209495902061462,273.2805768399619,283.85074887658357,277.492804797335
1998-02-10T00:00:00.0,0.0,-0.811930239200592,273.0949667951166,285.41403347842726,279.36550614419554
1998-02-11T00:00:00.0,0.0,-0.7369502186775208,276.5991564348685,285.5388402327198,280.3514928371615
1998-02-12T00:00:00.0,0.0,-0.7430509328842163,273.7430018654817,285.13881858434627,278.7593400063602
1998-02-13T00:00:00.0,0.0,-0.6794486045837402,273.922211563953,285.6956487188822,279.44171026821067
1998-02-14T00:00:00.0,2.6994223560450337e-5,-0.6324735879898071,277.48240423447726,286.43648881166996,281.3933492203504
1998-02-15T00:00:00.0,0.0004945727384324528,-0.702174961566925,276.2071352194625,287.758160337896,280.93152422730316
1998-02-16T00:00:00.0,4.3383573540722864e-5,-0.7924647331237793,275.53669893678847,286.48609149606824,280.62144077953894
1998-02-17T00:00:00.0,0.0005177106443170487,-0.8249172568321228,278.48085826881754,289.54225688964186,283.15817806269956
