Ti,Variable_tp,Variable_pet,Variable_t2mmin,Variable_t2mmax,Variable_t2m
1998-01-01T00:00:00.0,0.00018317508829568396,-0.24232737720012665,275.4934965987642,280.07134434275065,277.23959109391456
1998-01-02T00:00:00.0,0.0005099980090221834,-0.5228250622749329,276.335142146942,279.2681008728166,278.081103301543
1998-01-03T00:00:00.0,0.0026936378774280456,-0.9091851115226746,277.2247902929247,279.557716546239,278.1783752323724
1998-01-04T00:00:00.0,0.001284153776907715,-1.0227794647216797,275.4918965121707,277.8904263158182,276.84843659207996
1998-01-05T00:00:00.0,0.0018250023271093596,-1.2995634078979492,276.27913911616974,278.21044363451705,277.16785387830623
1998-01-06T00:00:00.0,0.0038129340748582763,-0.4869687557220459,274.1350230808877,276.45354855486056,275.3102200135344
1998-01-07T00:00:00.0,0.002430444197898396,-0.4968183934688568,274.34303433804195,281.6938321485536,278.4397227093098
1998-01-08T00:00:00.0,0.00046661443548146053,-1.0636860132217407,277.8760255364768,281.1210011480827,279.5349153122817
1998-01-09T00:00:00.0,0.00027283447360559876,-0.8683510422706604,280.24735386803496,282.08265319077265,281.03959674263876
1998-01-10T00:00:00.0,9.640794132792507e-6,-0.22252969443798065,275.53669893678847,283.0571059262105,278.577396826625
1998-01-11T00:00:00.0,0.0,-0.43974220752716064,272.989361079946,282.42507172178034,276.5838222716809
1998-01-12T00:00:00.0,0.0,-0.34286418557167053,272.5445370069546,281.6426293775618,275.8492491847176
1998-01-13T00:00:00.0,0.0,-0.2970227599143982,271.1508615840213,279.95773819461255,274.65691799146566
1998-01-14T00:00:00.0,1.9281588379271852e-6,-0.35585060715675354,274.0118164131887,279.9401372420841,276.5287526247549
1998-01-15T00:00:00.0,6.748555904323439e-6,-0.48904022574424744,273.9238116505465,277.6296122010787,276.16813310874613
1998-01-16T00:00:00.0,0.003435979024743574,-0.32314810156822205,276.603956694649,278.4648574028826,277.4132004893086
1998-01-17T00:00:00.0,0.0013535674946183462,-0.43717730045318604,273.20697285666114,277.5768093434934,275.2755514706753
1998-01-18T00:00:00.0,0.0008811685826799476,-0.8496884107589722,271.86930046450016,276.61355721421,274.28503119902774
1998-01-19T00:00:00.0,0.005500073046050602,-0.30382540822029114,272.75734852388933,275.65350525811357,274.6313166059698
1998-01-20T00:00:00.0,0.004183140569125499,-0.2968783676624298,271.85489968515867,273.7414017788882,272.53653657398723
1998-01-21T00:00:00.0,0.001106763165068969,-0.17389819025993347,269.2179569790805,271.9317038416464,270.15547438231863
1998-01-22T00:00:00.0,0.0018606732653552172,-0.12752990424633026,268.61472433333324,271.6084863497606,269.9404627463178
1998-01-23T00:00:00.0,0.00022173826477001057,-0.16606539487838745,268.0338928998949,271.1284603717124,269.62751247674026
1998-01-24T00:00:00.0,0.0022790837302295586,-0.13016892969608307,268.0594942853908,271.19726409523264,269.50643925783254
1998-01-25T00:00:00.0,0.0004068415119036217,-0.2635238766670227,265.3585481155729,269.0355471074222,267.8117475444982
1998-01-26T00:00:00.0,2.120974704666878e-5,-0.09551768004894257,263.5504502649246,267.3970584356843,265.26680981754583
1998-01-27T00:00:00.0,4.820397066396254e-6,-0.15607237815856934,262.6576019457549,268.5747221684959,264.83165293439026
1998-01-28T00:00:00.0,0.0015859106329116912,-0.11492998898029327,262.9792193510472,269.491571786568,267.247850360841
1998-01-29T00:00:00.0,0.000270906314824515,-0.14525675773620605,268.24350424364263,271.0724573409401,269.76251978306635
1998-01-30T00:00:00.0,0.0005649505354767825,-0.2981873154640198,268.0978963636347,272.11251362671123,270.469424706017
1998-01-31T00:00:00.0,0.0008618869944143626,-0.323579877614975,262.2831816828773,272.13171466583316,267.1431113592418
1998-02-01T00:00:00.0,0.0,-0.1924218386411667,262.64960151278746,268.56032138915447,265.3774158033211
1998-02-02T00:00:00.0,6.748555904323439e-6,-0.40497177839279175,261.91676185296717,270.9700517989565,266.7829585351562
1998-02-03T00:00:00.0,0.0008406772473676938,-0.3184472918510437,268.9203408726906,273.8950100918636,271.361206300791
1998-02-04T00:00:00.0,0.0,-0.28812265396118164,267.53786605591176,276.8039675188358,270.7030373486672
1998-02-05T00:00:00.0,0.0,-0.2180226594209671,268.6051238137723,276.62635790695794,272.770215886912
1998-02-06T00:00:00.0,5.784476456938137e-6,-0.2907542288303375,273.0901665353361,277.695215751412,275.4923632040938
1998-02-07T00:00:00.0,5.206028822613007e-5,-0.5037994980812073,271.56528401173625,277.2247902929247,274.3421676244704
1998-02-08T00:00:00.0,6.170108235892258e-5,-0.4489539563655853,274.472641352115,277.2567920247946,275.6620390532789
1998-02-09T00:00:00.0,9.640793905418832e-7,-0.5695398449897766,275.6455048251461,280.0937455550595,277.3182620180947
1998-02-10T00:00:00.0,0.0,-0.7380184531211853,275.1094758163256,283.74514316141295,278.14083986770004
1998-02-11T00:00:00.0,0.0,-0.959563672542572,274.2742306145217,284.04115918120937,279.1776293100095
1998-02-12T00:00:00.0,0.0,-1.6807461977005005,281.6666306764642,285.0524139082976,283.0981748154435
1998-02-13T00:00:00.0,0.001150146738609692,-0.7335865497589111,282.72428791476375,284.4331803966154,283.53059821733535
1998-02-14T00:00:00.0,1.3497111751803459e-5,-0.9363307952880859,282.72908817454424,287.91016856427797,284.6131234681087
1998-02-15T00:00:00.0,0.00015521678534469174,-1.0040920972824097,281.183404525229,286.78210751586465,283.92768637362076
1998-02-16T00:00:00.0,0.0003422481913162301,-1.4194415807724,280.87138763949764,284.93720767356604,283.2135810609993
